loan_id,cust_id,branch_id,product_id,loan_amount,interest_rate,tenure_years,loan_status,date_id
1,1386,23,2,175000,11.09,2,Closed,162
2,1062,8,4,551000,9.55,6,Active,594
3,1219,20,1,1072000,9.61,10,Closed,216
4,1405,8,2,428000,12.73,2,Closed,563
5,1246,22,4,1125000,10.55,4,Active,915
6,1230,21,2,399000,12.03,4,Active,251
7,1079,23,1,2606000,7.56,10,Active,725
8,1149,6,2,354000,13.93,3,Active,675
9,1138,3,4,566000,9.71,6,Active,388
10,1471,5,6,81000,11.37,2,Active,85
11,1314,9,1,1173000,9.17,11,Active,515
12,1376,7,2,714000,13.46,4,Active,5
13,1423,4,2,752000,12.72,2,Active,235
14,1389,7,1,2066000,8.75,9,Active,375
15,1065,5,3,438000,9.62,2,Closed,275
16,1013,11,1,1251000,8.02,11,Active,913
17,1213,15,1,1975000,9.29,12,Active,924
18,1474,2,4,1105000,9.57,6,Active,841
19,1242,13,2,258000,13.33,4,Default,661
20,1493,22,6,566000,11.35,1,Active,628
21,1213,16,2,235000,10.85,3,Active,4
22,1181,7,2,106000,13.11,2,Active,534
23,1338,8,1,694000,8.68,11,Active,406
24,1485,6,1,2833000,9.5,8,Active,317
25,1173,24,6,145000,12.05,2,Active,539
26,1160,7,4,852000,9.73,3,Closed,340
27,1164,18,1,859000,8.42,10,Closed,519
28,1465,22,3,583000,7.94,6,Active,924
29,1483,25,6,122000,10.62,4,Closed,691
30,1497,22,1,759000,9.39,10,Active,972
31,1188,20,1,2758000,8.15,12,Active,973
32,1395,7,1,1498000,8.85,12,Active,615
33,1191,3,5,264000,10.63,8,Active,1078
34,1405,5,1,1287000,8.41,11,Active,857
35,1308,1,1,3285000,8.93,10,Active,211
36,1256,15,2,627000,10.32,2,Active,447
37,1183,3,3,990000,9.53,2,Closed,70
38,1117,8,4,132000,7.96,3,Active,1092
39,1282,25,2,239000,12.09,1,Closed,282
40,1196,9,2,173000,11.87,4,Active,462
41,1034,15,6,92000,9.88,4,Closed,368
42,1052,10,1,2162000,9.26,9,Closed,386
43,1112,2,1,1198000,9.34,10,Closed,41
44,1252,20,3,399000,8.98,4,Closed,685
45,1082,5,4,784000,11.78,6,Active,981
46,1232,19,2,143000,13.25,1,Active,782
47,1227,13,1,1403000,8.38,11,Closed,677
48,1233,11,4,374000,8.58,4,Active,517
49,1221,1,3,581000,9.18,3,Active,688
50,1436,22,5,613000,10.53,6,Active,1046
51,1413,15,5,782000,10.65,8,Active,41
52,1422,18,1,2566000,8.46,11,Active,153
53,1042,16,5,1999000,10.18,5,Active,558
54,1021,9,1,927000,9.14,8,Active,1033
55,1042,1,5,1090000,10.25,5,Closed,1071
56,1397,11,4,646000,9.23,7,Closed,330
57,1113,9,3,346000,9.74,3,Active,753
58,1105,23,3,385000,8.88,4,Active,3
